Gene	LogFC	V4	m210_1
APAF1	0.893986256	ensembl_havana	protein_coding
ZNF701	0.893454759	ensembl_havana	protein_coding
ENDOD1	0.893442938	ensembl_havana	protein_coding
DDIAS	0.893210992	ensembl_havana	protein_coding
GPR155	0.893110315	ensembl_havana	protein_coding
ZNF283	0.891060883	ensembl_havana	protein_coding
MED18	0.889443344	ensembl_havana	protein_coding
KIF18A	0.888415401	ensembl_havana	protein_coding
RNF152	0.888078014	ensembl_havana	protein_coding
VSIG10	0.885546381	ensembl_havana	protein_coding
ZNF587B	0.885461672	ensembl_havana	protein_coding
ANKRD10	0.885054906	ensembl_havana	protein_coding
RNF146	0.884280762	ensembl_havana	protein_coding
MTUS1	0.88335298	ensembl_havana	protein_coding
KITLG	0.882988768	ensembl_havana	protein_coding
TMEM68	0.878585184	ensembl_havana	protein_coding
LCLAT1	0.878146364	ensembl_havana	protein_coding
STYK1	0.877409053	ensembl_havana	protein_coding
CRISPLD1	0.877311572	ensembl_havana	protein_coding
PLS3	0.876404678	ensembl_havana	protein_coding
HENMT1	0.876039135	ensembl_havana	protein_coding
NMD3	0.874121568	ensembl_havana	protein_coding
FASTKD1	0.873361664	ensembl_havana	protein_coding
FAM218A	0.872897494	ensembl_havana	protein_coding
THNSL1	0.871933479	ensembl_havana	protein_coding
BTN3A1	0.871468174	ensembl_havana	protein_coding
INPP5B	0.871345147	ensembl_havana	protein_coding
TTC17	0.868683617	ensembl_havana	protein_coding
XYLB	0.86653437	ensembl_havana	protein_coding
ELOVL2	0.865490661	ensembl_havana	protein_coding
ZNF786	0.864563662	ensembl_havana	protein_coding
STXBP4	0.863025067	ensembl_havana	protein_coding
AGL	0.862705554	ensembl_havana	protein_coding
ALKBH2	0.862410501	ensembl_havana	protein_coding
INTS7	0.861768089	ensembl_havana	protein_coding
CEP70	0.860132539	ensembl_havana	protein_coding
PGR	0.858898999	ensembl_havana	protein_coding
SEH1L	0.858556212	ensembl_havana	protein_coding
TTC27	0.857188124	ensembl_havana	protein_coding
NINL	0.855305046	ensembl_havana	protein_coding
FKBP15	0.855003418	ensembl_havana	protein_coding
TOB1	0.85273646	ensembl_havana	protein_coding
RAP1GAP2	0.85200412	ensembl_havana	protein_coding
ZNF160	0.85159395	ensembl_havana	protein_coding
ETV3	0.851545028	ensembl_havana	protein_coding
THADA	0.848280579	ensembl_havana	protein_coding
PIP4K2A	0.847086846	ensembl_havana	protein_coding
ZC3HC1	0.845943124	ensembl_havana	protein_coding
TDRD1	0.845793388	ensembl_havana	protein_coding
ANAPC4	0.844191394	ensembl_havana	protein_coding
ANKRD54	0.843545003	ensembl_havana	protein_coding
LEAP2	0.843154725	ensembl_havana	protein_coding
DDX5	0.842660419	ensembl_havana	protein_coding
CEP83	0.842370588	ensembl_havana	protein_coding
TARSL2	0.84010647	ensembl_havana	protein_coding
ARF6	0.839651888	ensembl_havana	protein_coding
NUP160	0.838704244	ensembl_havana	protein_coding
COQ7	0.838599966	ensembl_havana	protein_coding
SHMT1	0.837677493	ensembl_havana	protein_coding
EXOSC10	0.837548701	ensembl_havana	protein_coding
ZNF69	0.836650285	ensembl_havana	protein_coding
SLC24A1	0.834412167	ensembl_havana	protein_coding
PSD4	0.832501537	ensembl_havana	protein_coding
CWF19L1	0.831752566	ensembl_havana	protein_coding
GLCE	0.829088795	ensembl_havana	protein_coding
NDUFAF7	0.823961024	ensembl_havana	protein_coding
RAP2C	0.823810792	ensembl_havana	protein_coding
SPAG5	0.822719829	ensembl_havana	protein_coding
RP11-111M22.2	0.821449015	ensembl_havana	protein_coding
NEDD4	0.820822862	ensembl_havana	protein_coding
OXCT1	0.819503502	ensembl_havana	protein_coding
TEX14	0.818627447	ensembl_havana	protein_coding
EME1	0.817037403	ensembl_havana	protein_coding
C12orf66	0.816828922	ensembl_havana	protein_coding
CLASP1	0.815025675	ensembl_havana	protein_coding
CMYA5	0.814762287	ensembl_havana	protein_coding
ZBTB6	0.814110059	ensembl_havana	protein_coding
ENPP1	0.813018008	ensembl_havana	protein_coding
PPP1R9A	0.811827397	ensembl_havana	protein_coding
SLC25A17	0.811216481	ensembl_havana	protein_coding
MED23	0.809955161	ensembl_havana	protein_coding
UBOX5	0.807085084	ensembl_havana	protein_coding
BCAT1	0.806589132	ensembl_havana	protein_coding
NFS1	0.80637066	ensembl_havana	protein_coding
ZNF829	0.804504844	ensembl_havana	protein_coding
MSH2	0.802455415	ensembl_havana	protein_coding
RTCB	0.800897038	ensembl_havana	protein_coding
KDM4A	0.800726146	ensembl_havana	protein_coding
IDH1	0.80063618	ensembl_havana	protein_coding
CAB39L	0.800014654	ensembl_havana	protein_coding
WDR7	0.798837662	ensembl_havana	protein_coding
CACUL1	0.798627509	ensembl_havana	protein_coding
PAK1	0.796669726	ensembl_havana	protein_coding
AP3M1	0.795791739	ensembl_havana	protein_coding
PARPBP	0.795581409	ensembl_havana	protein_coding
MACC1	0.794960947	ensembl_havana	protein_coding
TENM3	0.794854092	ensembl_havana	protein_coding
OGFOD1	0.7942632	ensembl_havana	protein_coding
PGGT1B	0.794193313	ensembl_havana	protein_coding
PAPD4	0.793998681	ensembl_havana	protein_coding
GPAM	0.793831058	ensembl_havana	protein_coding
COA7	0.79375397	ensembl_havana	protein_coding
PARP4	0.793444264	ensembl_havana	protein_coding
FAM114A2	0.792764651	ensembl_havana	protein_coding
