	1.lane.clean.uniq.gz	2.lane.clean.uniq.gz	3.lane.clean.uniq.gz	4.lane.clean.uniq.gz	5.lane.clean.uniq.gz	6.lane.clean.uniq.gz	7.lane.clean.uniq.gz	8.lane.clean.uniq.gz	9.lane.clean.uniq.gz	10.lane.clean.uniq.gz	11.lane.clean.uniq.gz	12.lane.clean.uniq.gz
hsa-miR-125b-2-3p	556	416	430	140	85	93	127	472	123	69	70	58
hsa-miR-4448	24	68	24	11	16	20	20	26	211	106	545	79
hsa-miR-361-3p	526	502	489	154	123	115	155	543	226	123	131	84
hsa-miR-455-5p	75	73	74	149	94	100	170	62	533	291	272	254
hsa-miR-1246	175	305	137	115	108	90	186	318	519	178	356	239
hsa-miR-5701	300	251	272	149	103	99	167	215	510	261	344	253
hsa-miR-4284	504	393	342	328	229	300	440	379	353	215	238	200
hsa-miR-598	358	478	340	25	15	18	25	465	9	2	4	3
hsa-miR-532-5p	431	316	304	287	249	222	335	323	376	171	185	148
hsa-miR-132-3p	369	430	309	13	17	10	20	383	17	3	4	7
hsa-miR-490-3p	51	53	38	423	260	270	353	56	4	3	1	4
hsa-miR-143-5p	78	109	70	379	284	308	415	108	70	48	44	30
hsa-miR-504	346	405	353	11	12	15	9	375	11	8	1	5
hsa-miR-874	334	348	256	107	69	87	109	382	10	5	4	5
hsa-miR-329	329	364	297	10	7	11	7	382	7	1	3	1
hsa-miR-495	366	344	302	18	14	14	14	342	12	18	13	9
hsa-miR-138-5p	361	311	261	0	2	2	2	356	2	3	2	1
hsa-miR-3184-5p	345	319	288	175	198	253	360	318	217	77	133	106
hsa-miR-363-3p	319	345	286	32	25	31	39	357	30	25	19	8
hsa-miR-146a-5p	183	179	137	105	53	64	96	207	356	210	179	153
hsa-miR-409-3p	340	325	291	36	26	47	34	292	46	21	27	8
hsa-miR-1307-3p	196	195	150	287	224	236	336	168	199	105	106	79
hsa-miR-206	1	4	0	321	220	220	331	2	1	1	1	0
hsa-miR-584-5p	323	327	260	41	23	26	29	311	5	0	1	2
hsa-miR-200a-3p	32	32	22	5	0	1	0	34	327	194	199	171
hsa-miR-28-3p	138	134	132	325	236	231	317	130	327	228	173	138
hsa-miR-3184-3p	326	294	266	151	122	116	134	292	248	111	125	98
hsa-miR-340-3p	307	260	252	68	32	44	56	319	54	36	32	32
hsa-miR-708-5p	254	310	237	14	12	16	19	319	1	1	2	1
hsa-miR-487b	261	270	243	8	5	8	8	313	4	6	2	2
hsa-miR-215	5	5	4	4	4	3	7	8	308	144	178	131
hsa-miR-543	291	262	251	20	17	20	19	302	15	7	9	8
hsa-miR-28-5p	123	104	97	300	153	250	245	119	194	116	141	131
hsa-miR-1180	299	285	254	24	16	35	32	255	12	8	9	6
hsa-miR-19b-3p	121	167	90	62	35	52	61	129	296	149	131	134
hsa-miR-1291	193	118	93	78	125	79	89	104	293	136	208	78
hsa-miR-577	189	293	204	2	0	0	1	265	1	1	0	0
hsa-miR-17-5p	118	212	106	126	47	70	89	170	292	191	102	155
hsa-miR-148a-5p	9	7	6	30	17	17	17	4	284	150	136	106
hsa-miR-342-3p	273	213	189	51	40	42	47	258	92	56	45	43
hsa-miR-181a-3p	253	253	223	32	22	25	36	270	18	7	4	6
hsa-miR-5100	16	20	7	50	26	26	49	20	267	181	140	95
hsa-miR-361-5p	195	265	185	97	61	79	84	255	66	44	44	28
hsa-miR-93-5p	193	253	169	101	59	62	102	257	190	122	111	94
hsa-miR-455-3p	13	15	8	46	17	31	33	20	253	130	132	113
hsa-miR-889	224	250	161	6	5	3	4	214	5	6	4	5
hsa-miR-107	153	248	141	92	43	54	63	219	130	90	51	83
hsa-miR-365b-3p	88	88	77	119	104	96	126	112	246	134	118	91
hsa-miR-374a-5p	144	243	150	158	60	105	125	232	86	69	45	55
hsa-miR-539-3p	200	193	143	2	1	2	3	242	2	6	2	2
hsa-miR-142-5p	52	49	48	64	27	34	35	61	241	117	106	98
hsa-miR-137	187	241	160	3	0	1	2	225	0	0	1	0
hsa-miR-34c-5p	239	202	182	6	3	5	4	208	2	1	2	4
hsa-miR-4443	181	235	163	65	63	152	149	218	170	69	205	43
hsa-miR-410	185	234	154	2	3	4	4	231	3	2	1	3
hsa-miR-132-5p	217	232	170	22	5	2	14	216	7	6	3	1
hsa-miR-652-3p	124	121	107	177	146	156	231	120	16	11	14	8
hsa-miR-135a-5p	186	230	158	59	27	37	45	221	2	0	1	1
hsa-miR-151a-5p	163	229	139	58	37	44	67	172	56	15	82	28
hsa-miR-330-5p	204	225	178	3	0	2	4	225	3	5	1	1
hsa-let-7d-3p	225	169	171	110	90	97	100	191	59	22	30	19
hsa-miR-323b-3p	221	177	193	2	0	1	0	179	2	1	1	3
hsa-miR-484	185	212	158	160	113	148	145	220	169	79	72	71
hsa-miR-197-3p	215	163	150	153	137	135	184	167	47	21	20	21
hsa-miR-181d	214	193	179	32	14	23	21	214	5	1	3	3
hsa-miR-452-5p	15	17	9	212	124	166	194	14	15	10	5	12
hsa-miR-2964a-3p	172	174	154	0	0	0	1	208	2	2	1	0
hsa-miR-195-5p	171	185	139	206	125	131	197	178	109	82	56	53
hsa-miR-4791	203	167	172	66	34	59	41	130	127	75	107	68
hsa-miR-181c-5p	194	161	118	27	10	16	23	153	2	3	1	2
hsa-miR-99b-3p	191	162	129	77	64	53	94	194	11	5	5	7
hsa-miR-628-5p	114	193	109	33	15	17	25	155	5	5	5	2
hsa-miR-654-3p	154	181	175	51	25	43	41	192	64	33	36	31
hsa-miR-378a-5p	4	7	5	183	99	124	186	5	47	15	22	19
hsa-miR-378e	4	4	0	186	97	103	162	3	24	12	15	10
hsa-miR-29c-3p	157	183	140	97	50	91	118	155	52	28	26	18
hsa-miR-3607-3p	182	109	112	105	81	62	123	112	149	114	79	93
hsa-miR-129-2-3p	169	182	150	2	0	2	0	181	1	3	0	1
hsa-miR-375	10	19	6	3	0	2	1	18	179	99	114	78
hsa-miR-34a-5p	137	160	129	54	44	43	45	179	82	47	49	33
hsa-miR-181a-2-3p	125	121	109	160	127	113	177	104	31	7	18	9
hsa-miR-656	124	136	130	7	3	5	6	175	3	4	4	1
hsa-miR-378f	3	8	5	173	89	133	168	3	23	12	11	11
hsa-miR-574-3p	94	83	80	110	57	59	81	91	164	99	65	59
hsa-miR-382-3p	123	164	137	6	2	3	6	152	7	1	4	3
hsa-miR-425-5p	122	161	100	31	15	14	31	132	55	36	32	35
hsa-let-7a-3p	129	123	109	122	96	121	125	159	158	79	85	74
hsa-miR-1296	107	131	121	11	6	10	12	157	10	7	3	7
hsa-miR-134	143	156	123	17	5	10	12	131	23	15	4	7
hsa-miR-129-1-3p	156	141	109	3	0	1	0	155	0	1	2	0
hsa-miR-335-3p	153	147	138	70	33	50	47	146	52	39	26	22
hsa-miR-122-3p	1	0	0	0	1	0	2	0	148	67	95	71
hsa-miR-335-5p	112	145	85	28	17	29	24	134	29	28	16	17
hsa-miR-485-5p	141	143	130	1	4	3	1	122	3	1	1	0
hsa-miR-224-5p	18	24	15	133	110	106	140	19	78	37	64	40
hsa-miR-378g	11	2	3	139	73	81	122	3	21	15	8	9
hsa-miR-382-5p	83	139	97	4	1	2	6	107	10	5	3	0
hsa-miR-409-5p	120	138	126	7	3	4	3	124	5	6	3	6
hsa-miR-203	97	138	83	13	7	7	8	110	104	59	44	52
hsa-miR-24-2-5p	23	19	11	131	69	101	133	23	17	7	11	14
hsa-miR-369-3p	103	124	89	13	6	9	11	132	20	12	5	8
hsa-miR-142-3p	41	47	24	38	8	16	35	42	132	67	69	69
hsa-miR-485-3p	90	112	105	5	1	1	3	130	4	2	2	1
hsa-miR-181c-3p	125	123	111	17	12	6	12	128	3	1	4	3
hsa-miR-1301	87	96	88	9	12	15	14	128	8	0	5	4
hsa-miR-4324	106	99	128	21	16	26	42	104	16	7	8	5
hsa-miR-505-3p	18	23	15	12	10	9	14	19	128	68	68	77
hsa-miR-144-3p	124	105	88	53	13	30	40	120	54	27	32	33
hsa-miR-127-5p	112	123	102	7	5	3	4	121	6	4	4	2
hsa-miR-885-5p	114	79	86	2	0	0	0	92	122	66	77	58
hsa-miR-21-3p	7	11	6	3	10	5	12	3	120	69	52	75
hsa-miR-1303	103	120	81	41	27	49	57	99	50	28	37	47
hsa-miR-486-3p	29	24	34	80	63	73	119	37	11	7	9	2
hsa-miR-125b-1-3p	107	119	92	41	33	39	38	88	3	4	0	1
hsa-miR-22-5p	32	35	28	117	68	72	90	52	54	30	29	16
hsa-miR-708-3p	111	114	111	13	4	4	4	97	2	1	1	1
hsa-miR-432-5p	95	113	91	3	2	1	4	107	3	6	3	1
hsa-miR-150-5p	39	60	49	111	55	75	110	72	67	31	31	29
hsa-let-7b-3p	104	103	82	37	37	35	55	107	49	16	22	18
hsa-miR-144-5p	70	107	63	28	24	30	28	89	37	24	13	9
hsa-miR-497-5p	91	84	83	82	32	55	64	107	44	24	16	23
hsa-miR-660-5p	71	68	64	53	30	36	44	74	107	44	43	46
hsa-miR-421	92	106	81	25	20	23	27	104	6	7	3	4
hsa-miR-193a-5p	18	17	11	36	17	21	35	19	101	45	72	42
hsa-miR-425-3p	99	101	62	31	17	23	28	80	26	15	24	19
hsa-miR-331-3p	61	100	54	43	19	28	35	70	31	29	14	11
hsa-miR-339-3p	70	76	44	54	23	38	39	97	14	9	8	9
hsa-miR-582-3p	84	96	76	4	2	4	1	72	16	9	10	7
hsa-miR-139-3p	95	87	83	6	2	8	14	86	8	2	3	5
hsa-miR-450a-5p	26	28	29	68	77	58	92	31	72	27	37	36
hsa-miR-221-5p	84	90	63	88	65	67	88	92	10	8	3	6
hsa-miR-941	81	81	90	70	57	44	55	80	54	28	23	12
hsa-miR-30c-2-3p	68	64	68	53	52	55	89	65	38	23	20	25
hsa-miR-32-5p	63	88	57	44	18	37	45	87	41	40	25	26
hsa-miR-210	59	54	50	57	40	61	66	68	88	41	40	42
hsa-miR-5585-3p	80	72	88	19	19	14	35	63	41	30	34	25
hsa-miR-345-5p	88	71	72	32	15	28	30	83	73	31	38	42
hsa-miR-935	87	43	60	1	0	0	2	69	1	0	0	0
hsa-miR-193b-3p	21	19	19	38	20	26	35	29	87	48	74	43
hsa-miR-106b-3p	82	87	75	41	32	37	43	80	87	45	39	38
hsa-miR-411-3p	85	77	45	7	2	4	9	76	3	5	5	6
hsa-miR-494	59	52	57	12	7	7	3	84	28	14	11	12
hsa-miR-3200-3p	83	71	59	6	5	1	5	76	1	0	0	0
hsa-miR-369-5p	74	83	49	10	2	9	4	64	5	3	4	3
hsa-miR-3074-3p	48	57	49	79	50	61	82	67	32	23	16	10
hsa-miR-3065-3p	65	69	62	2	2	1	1	81	6	3	1	3
hsa-miR-29c-5p	74	76	73	81	47	55	68	77	29	16	12	17
hsa-miR-422a	1	0	3	80	51	57	71	3	9	5	10	8
hsa-miR-429	8	13	5	1	0	0	1	5	78	29	34	32
hsa-miR-1271-5p	43	78	56	54	27	46	52	64	9	8	3	2
hsa-miR-625-3p	78	56	52	5	6	7	6	66	2	2	3	3
hsa-miR-153	59	78	54	1	0	0	0	77	1	0	0	0
hsa-miR-136-5p	67	77	44	7	2	1	6	75	6	3	2	7
hsa-miR-374a-3p	65	76	62	60	32	47	47	65	50	36	23	27
hsa-miR-124-5p	44	75	45	2	1	0	0	66	2	1	0	0
hsa-miR-106b-5p	59	75	66	31	11	33	32	72	42	28	23	23
hsa-miR-27b-5p	14	20	15	64	48	43	75	16	61	26	22	20
hsa-miR-1307-5p	68	74	60	62	49	57	62	63	65	37	22	34
hsa-miR-3615	66	65	71	20	17	21	25	73	55	24	31	26
hsa-miR-223-3p	18	22	24	33	16	16	17	26	72	35	43	28
hsa-miR-208a	0	0	0	72	18	33	43	0	0	0	0	0
hsa-miR-214-3p	12	13	4	68	46	60	69	8	61	41	35	31
hsa-miR-3591-5p	0	0	0	3	4	6	3	0	68	27	40	19
hsa-miR-3545-5p	62	53	58	10	4	2	3	67	31	20	23	16
hsa-miR-155-5p	44	50	45	22	8	15	22	46	65	28	32	26
hsa-miR-424-5p	13	12	6	34	13	25	27	9	65	37	28	38
hsa-miR-454-3p	65	47	39	33	27	24	31	55	8	7	6	4
hsa-miR-450b-5p	16	19	21	63	46	50	47	22	54	25	24	18
hsa-miR-483-3p	1	1	4	14	11	7	20	3	61	25	18	33
hsa-miR-302a-5p	1	2	4	34	25	46	60	3	0	1	0	0
hsa-miR-15a-5p	48	52	34	31	7	20	29	59	31	15	19	13
hsa-miR-542-3p	33	30	18	49	37	41	58	19	38	15	19	22
hsa-miR-4488	56	44	45	3	0	1	3	35	0	1	0	3
hsa-miR-302b-3p	1	0	5	43	36	30	55	4	0	0	0	0
hsa-miR-4286	10	13	13	8	6	4	6	10	55	34	25	29
hsa-miR-339-5p	45	55	41	13	12	16	22	52	33	16	21	15
hsa-miR-1275	22	26	19	5	4	5	2	29	55	27	22	31
hsa-miR-30d-3p	21	16	18	55	28	30	41	16	20	16	15	11
hsa-miR-130b-5p	33	31	29	20	7	15	15	25	54	32	48	27
hsa-miR-431-3p	52	53	42	0	0	1	0	44	1	0	0	1
hsa-miR-664-3p	35	46	38	53	23	29	38	37	41	30	20	16
hsa-miR-195-3p	24	18	21	53	34	29	35	17	14	7	11	9
hsa-miR-15b-5p	30	52	25	38	11	22	27	31	35	25	12	22
hsa-miR-182-5p	50	51	39	15	9	12	10	42	21	15	12	11
hsa-miR-592	42	39	23	1	1	0	0	51	16	7	6	9
hsa-miR-184	51	22	31	2	1	1	1	25	0	0	0	0
hsa-miR-758	50	44	47	4	0	1	2	49	7	2	1	2
hsa-miR-873-5p	50	49	46	1	0	0	0	46	1	1	1	0
hsa-miR-31-5p	45	49	35	1	0	1	1	33	1	3	1	1
hsa-miR-383	44	49	43	1	0	1	0	49	0	0	0	2
hsa-miR-488-3p	37	49	24	1	0	1	0	43	0	0	0	0
hsa-miR-212-5p	49	25	39	3	4	2	7	36	2	0	2	1
hsa-miR-19a-3p	27	25	28	11	11	8	12	32	48	27	37	24
hsa-miR-3135b	22	18	15	23	14	18	48	16	5	4	6	3
hsa-miR-3653	48	40	24	14	11	13	19	39	45	30	17	23
hsa-miR-760	42	48	34	2	2	3	1	45	0	0	1	0
hsa-miR-4497	39	32	28	21	28	28	47	37	36	10	22	22
hsa-miR-20b-5p	32	36	26	4	2	1	0	46	8	7	5	1
hsa-miR-651	20	24	11	44	26	36	37	13	10	9	12	7
hsa-miR-194-3p	1	1	1	0	0	0	0	1	44	31	29	18
hsa-miR-4454	17	31	21	25	21	17	20	38	44	25	19	22
hsa-miR-379-3p	22	43	21	3	1	0	0	28	0	1	0	0
hsa-miR-502-3p	23	23	29	28	14	22	19	43	30	33	14	12
hsa-miR-29b-2-5p	24	43	29	20	11	14	27	31	6	4	1	6
hsa-miR-377-3p	21	43	18	4	5	3	2	19	2	1	2	1
hsa-miR-1250	42	35	39	0	1	1	2	43	0	0	0	0
hsa-miR-106a-5p	30	42	33	13	7	8	11	32	41	16	10	14
hsa-let-7i-3p	40	27	28	24	18	22	26	42	7	5	4	11
hsa-miR-3607-5p	29	41	23	12	11	16	14	25	40	20	27	18
hsa-miR-346	41	32	28	0	0	0	4	36	0	0	0	0
hsa-miR-33a-5p	30	36	34	9	5	7	7	40	1	1	2	1
hsa-miR-2682-5p	39	27	17	1	0	0	0	13	0	0	0	0
hsa-miR-487a	26	38	21	1	0	0	0	29	0	2	1	0
hsa-miR-16-2-3p	22	17	13	31	26	29	28	16	38	12	25	16
hsa-miR-511	12	8	8	24	9	19	19	16	37	10	14	24
hsa-miR-146b-3p	30	31	31	2	1	2	8	24	37	31	21	25
hsa-miR-539-5p	25	36	21	3	1	2	0	37	0	0	0	0
hsa-miR-326	30	25	28	5	1	5	3	37	11	5	3	3
hsa-miR-1287	33	24	19	31	15	36	28	21	6	1	1	3
hsa-miR-148b-5p	32	33	32	21	8	19	16	36	27	20	18	16
hsa-miR-500a-3p	33	36	29	29	20	16	28	25	29	24	23	18
hsa-miR-3141	35	17	10	1	0	1	0	27	1	0	1	0
hsa-let-7e-3p	22	34	22	16	7	12	19	25	4	1	4	0
hsa-miR-105-5p	29	23	22	0	0	0	0	34	0	1	1	0
hsa-miR-618	5	10	13	33	19	20	29	10	32	19	14	17
hsa-miR-590-3p	25	33	29	17	10	11	16	23	9	12	12	9
hsa-miR-589-5p	19	33	27	5	7	7	10	15	13	4	8	8
hsa-miR-493-5p	10	19	7	33	23	16	29	15	26	10	13	4
hsa-miR-4485	17	26	23	14	15	19	32	28	21	10	12	8
hsa-miR-424-3p	9	7	6	27	17	23	30	10	31	10	23	12
hsa-miR-1224-5p	25	28	31	0	0	1	1	31	0	0	0	0
hsa-miR-190a	21	18	19	31	23	29	27	26	0	1	2	2
hsa-miR-655	25	25	25	4	0	1	1	31	2	2	2	2
hsa-miR-582-5p	20	12	16	0	0	0	2	29	4	7	2	1
hsa-miR-24-1-5p	6	11	6	29	9	21	17	10	5	4	3	4
hsa-miR-324-3p	20	29	20	5	3	9	6	29	11	3	1	2
hsa-miR-362-5p	13	21	9	12	22	19	29	16	13	9	7	7
hsa-miR-671-3p	16	28	23	13	8	7	13	25	10	3	3	4
hsa-miR-378h	1	1	0	22	8	24	28	0	4	5	1	0
hsa-miR-376a-5p	17	25	19	1	1	1	3	28	0	0	0	0
hsa-miR-183-5p	28	25	20	3	1	4	3	12	9	5	5	4
hsa-miR-3195	8	4	8	6	3	7	10	7	22	7	27	6
