	mt1.lane.clean.uniquified.fa.gz	mt2.lane.clean.uniquified.fa.gz	mt3.lane.clean.uniquified.fa.gz	wt1.lane.clean.uniquified.fa.gz	wt2.lane.clean.uniquified.fa.gz	wt3.lane.clean.uniquified.fa.gz
mmu-mir-125b-2-5p	3338	1270	1104	3856	1499	1077
mmu-mir-486-5p	3814	2324	1810	3145	1916	1987
mmu-mir-378b-3p	3788	2713	1844	2905	3432	1641
mmu-mir-18a-5p	1272	1382	463	3762	2683	869
mmu-mir-671-5p	2947	1674	796	3675	2411	1416
mmu-let-7b-3p	2994	1677	1150	3613	1644	1651
mmu-mir-325-3p	2206	959	840	3508	2046	1167
mmu-mir-676-5p	1246	690	523	3422	1817	1036
mmu-let-7c-1-5p	2304	1320	1097	3379	1484	1182
mmu-mir-184-3p	491	587	76	3372	1870	2175
mmu-mir-214-3p	332	268	70	568	3250	1844
mmu-mir-6539-5p	73	75	68	307	3248	174
mmu-mir-135a-1-3p	3237	1145	384	120	394	1054
mmu-mir-362-3p	1760	959	550	3213	2877	562
mmu-mir-6236-5p	3202	1469	753	2919	1904	1075
mmu-mir-129-2-3p	3172	2201	1484	2627	1708	612
mmu-let-7f-1-3p	1168	685	467	3170	1246	781
mmu-mir-690-3p	3143	1154	602	1896	1482	1047
mmu-mir-346-5p	1810	996	753	3029	1025	815
mmu-mir-25-5p	664	541	394	2991	746	578
mmu-mir-466g-3p	97	164	30	392	2986	111
mmu-mir-324-3p	1904	1328	802	2840	1968	1003
mmu-mir-195a-3p	860	554	298	2822	1553	668
mmu-mir-669f-5p	151	53	41	368	2762	64
mmu-mir-17-3p	1798	927	454	2024	2737	607
mmu-mir-877-5p	1312	1381	460	2716	2563	1438
mmu-mir-331-3p	2315	2414	936	2630	2101	1579
mmu-mir-582-3p	1848	605	237	1649	2609	2236
mmu-mir-700-3p	1131	872	370	2604	1085	835
mmu-mir-196a-2-5p	927	51	2581	730	141	132
mmu-mir-5097-3p	658	493	304	2581	1168	564
mmu-mir-344g-3p	548	248	105	2546	1643	449
mmu-mir-338-5p	637	464	183	2543	744	659
mmu-mir-5115-5p	2531	1380	583	2447	1717	1465
mmu-mir-532-3p	804	735	340	2528	1268	622
mmu-mir-30c-1-3p	1028	843	573	2524	1158	830
mmu-mir-3066-5p	1253	694	508	2523	1841	1079
mmu-mir-411-5p	2490	782	1623	716	584	279
mmu-mir-5100-3p	675	630	436	2473	1087	1577
mmu-mir-135a-2-3p	2457	834	813	153	384	514
mmu-mir-21c-5p	2388	1410	514	1515	2030	1878
mmu-mir-425-3p	1094	734	397	2347	1811	659
mmu-mir-370-3p	2323	709	1991	871	663	595
mmu-mir-28a-5p	2100	1374	663	2297	1174	1020
mmu-mir-152-5p	1041	793	308	2186	2289	772
mmu-mir-421-3p	1314	873	412	2266	1374	784
mmu-mir-5117-3p	1576	1038	367	1563	2189	931
mmu-mir-3470b-5p	1393	852	505	1794	2164	1099
mmu-mir-7a-1-5p	1038	668	405	2139	1806	947
mmu-mir-125a-3p	940	745	452	2124	923	845
mmu-mir-374b-3p	726	370	379	2109	1314	496
mmu-mir-384-5p	1366	1182	569	2105	1130	656
mmu-mir-3074-1-5p	967	473	303	2102	986	749
mmu-mir-26a-2-3p	2097	1331	588	1691	1387	813
mmu-mir-148b-5p	1167	732	378	2096	1571	748
mmu-mir-877-3p	472	365	200	2082	938	555
mmu-mir-134-5p	2006	621	1251	553	749	318
mmu-mir-669f-3p	63	65	37	175	2001	55
mmu-mir-297b-5p	86	54	26	273	1892	54
mmu-mir-200b-3p	256	15	14	102	1861	31
mmu-let-7f-2-3p	1344	543	499	1846	1829	495
mmu-mir-10b-3p	1841	877	1610	458	504	142
mmu-mir-3968-3p	943	539	439	1840	699	838
mmu-let-7e-3p	791	439	324	1792	722	407
mmu-mir-708-3p	1779	690	1203	191	373	199
mmu-mir-466n-5p	25	31	20	97	1766	37
mmu-mir-295-3p	463	39	18	1	1731	4
mmu-mir-331-5p	1114	621	470	1714	987	686
mmu-mir-3475-3p	1711	753	962	315	170	259
mmu-mir-297a-2-5p	40	23	15	116	1692	31
mmu-mir-204-5p	128	62	19	1404	650	1656
mmu-mir-615-5p	637	559	456	1650	529	291
mmu-mir-224-5p	443	162	130	1463	1634	262
mmu-mir-181b-1-5p	766	375	316	1632	727	425
mmu-mir-93-3p	606	411	229	1624	631	297
mmu-mir-466f-2-5p	67	44	18	147	1616	38
mmu-mir-18a-3p	451	388	200	1594	743	354
mmu-mir-488-5p	1081	324	369	1585	1048	693
mmu-let-7a-1-5p	559	308	234	1544	581	511
mmu-mir-3970-5p	1178	665	522	1534	1268	963
mmu-mir-1843b-3p	685	536	248	1462	823	871
mmu-mir-34c-3p	734	252	175	1452	547	182
mmu-mir-881-3p	204	156	53	246	1425	330
mmu-mir-342-5p	619	590	260	1421	511	607
mmu-mir-291a-3p	233	24	13	0	1405	0
mmu-let-7k-5p	776	547	349	1400	644	561
mmu-mir-181b-2-3p	866	720	421	1392	505	496
mmu-mir-221-5p	1390	495	803	1170	805	246
mmu-mir-6240-5p	1235	627	335	1375	736	928
mmu-mir-9-3-5p	1348	1014	515	819	801	448
mmu-mir-365-1-3p	635	966	248	1341	1098	635
mmu-mir-99a-3p	1303	746	556	1129	972	553
mmu-mir-1964-3p	609	342	304	1296	821	896
mmu-mir-301a-3p	612	400	205	1286	961	351
mmu-mir-196a-1-3p	358	8	1279	352	95	232
mmu-mir-383-5p	1046	304	279	1245	465	276
mmu-mir-345-5p	798	1241	262	1146	1122	680
mmu-mir-188-5p	477	354	140	1235	504	206
mmu-mir-466b-1-5p	40	43	28	158	1231	39
mmu-mir-3093-5p	364	180	161	1227	259	334
mmu-mir-15a-5p	1020	676	401	1212	1076	324
mmu-mir-704-3p	555	284	202	1055	1205	824
mmu-mir-324-5p	648	783	220	1203	848	417
mmu-mir-153-3p	807	492	279	1190	628	195
mmu-mir-6239-5p	1165	600	208	1173	784	584
mmu-mir-382-3p	1172	260	719	249	415	248
mmu-mir-98-3p	800	419	218	1161	679	353
mmu-mir-409-3p	1161	452	1015	591	563	319
mmu-mir-16-2-3p	313	148	125	1146	748	217
mmu-mir-669n-5p	36	24	10	84	1144	21
mmu-mir-1934-3p	259	270	158	1141	600	304
mmu-mir-2137-3p	570	292	136	1133	249	304
mmu-mir-32-3p	409	377	204	1121	467	443
mmu-mir-195a-5p	707	632	233	1014	1116	240
mmu-mir-450b-3p	630	421	216	1048	1110	273
mmu-mir-1961-3p	789	348	325	1103	840	552
mmu-mir-574-3p	475	913	154	1101	684	543
mmu-mir-300-3p	1099	452	843	397	641	222
mmu-mir-130b-3p	350	293	120	1094	870	232
mmu-mir-27b-5p	281	208	111	1070	360	401
mmu-mir-467e-3p	23	26	7	59	1055	16
mmu-mir-5126-3p	466	246	91	1051	312	328
mmu-mir-409-5p	1036	198	681	278	421	203
mmu-mir-350-5p	521	393	214	1014	521	443
mmu-mir-669h-5p	43	16	7	47	1002	15
mmu-mir-339-3p	644	373	235	987	633	398
mmu-mir-193b-3p	416	985	132	370	658	344
mmu-mir-185-3p	894	375	341	966	600	512
mmu-mir-670-5p	399	237	249	966	581	210
mmu-mir-181c-5p	651	392	234	952	687	325
mmu-mir-206-3p	345	284	83	942	331	108
mmu-mir-139-3p	359	295	128	938	387	329
mmu-mir-466b-8-5p	46	40	19	142	929	27
mmu-mir-664-5p	917	442	158	706	372	360
mmu-mir-292-3p	332	39	11	0	897	2
mmu-mir-1839-3p	790	599	206	895	661	538
mmu-mir-5098-3p	549	281	181	885	638	421
mmu-mir-708-5p	877	310	453	50	82	28
mmu-mir-214-5p	164	122	36	239	872	828
mmu-mir-29b-1-3p	735	871	322	661	468	223
mmu-mir-6236-3p	786	467	253	867	659	573
mmu-mir-9-3-3p	837	335	276	849	491	162
mmu-mir-21b-5p	845	476	165	609	701	685
mmu-mir-434-3p	844	229	743	292	221	172
mmu-mir-92a-1-5p	167	162	72	835	307	196
mmu-mir-3057-5p	776	296	229	818	508	448
mmu-mir-22-5p	584	524	193	809	530	424
mmu-mir-700-5p	419	395	140	796	560	475
mmu-mir-149-3p	392	352	272	791	716	355
mmu-mir-127-5p	775	201	480	155	298	116
mmu-mir-20b-5p	392	160	121	512	756	104
mmu-mir-1306-3p	388	363	156	755	520	421
mmu-mir-874-3p	585	350	158	738	296	364
mmu-mir-328-5p	292	272	191	721	426	310
mmu-mir-382-5p	718	182	379	211	193	110
mmu-mir-153-5p	221	142	82	715	203	103
mmu-mir-1947-5p	461	313	180	713	416	538
mmu-mir-6412-3p	317	149	129	694	324	239
mmu-mir-128-1-5p	281	147	119	687	355	262
mmu-mir-7a-1-3p	343	282	144	685	500	209
mmu-mir-219-1-5p	683	339	236	650	533	260
mmu-mir-5105-5p	683	270	192	561	413	440
mmu-mir-190a-5p	384	392	150	572	679	212
mmu-mir-3060-3p	250	150	129	677	302	165
mmu-mir-3096b-3p	514	258	176	505	653	366
mmu-mir-21a-3p	339	193	73	648	476	421
mmu-mir-6243-3p	643	314	109	546	355	303
mmu-mir-3473b-3p	176	270	100	621	641	177
mmu-mir-497-5p	324	235	81	640	520	128
mmu-mir-6399-3p	87	84	81	640	334	221
mmu-mir-29c-5p	451	475	139	559	500	630
mmu-mir-341-3p	626	156	369	155	279	97
mmu-mir-3470a-5p	418	234	111	624	427	273
mmu-mir-326-3p	506	569	125	608	476	319
mmu-mir-294-3p	200	15	3	3	606	0
mmu-mir-344d-1-3p	187	84	24	597	177	232
mmu-mir-7b-5p	588	110	151	485	431	391
mmu-mir-103-1-3p	390	163	111	581	529	240
mmu-mir-299a-3p	578	167	439	239	286	123
mmu-mir-20a-3p	251	188	123	572	356	213
mmu-mir-191-3p	228	124	65	571	296	163
mmu-mir-1306-5p	172	109	97	548	227	134
mmu-mir-330-5p	494	195	141	200	546	54
mmu-mir-101c-3p	350	178	100	328	543	162
mmu-mir-3102-3p	235	235	66	540	239	97
